FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
K7G,136.9739,955.0,2485.0,130.0,2075.0,3700.0,3455.0,54.4,77500.0,2925.0,8740.0,525.0,165.0,63.80777651800818
K7H,621.91,1415.0,4300.0,340.0,3965.0,6495.0,5955.0,55.6,82000.0,5020.0,16175.0,935.0,265.0,26.008586451415802
K7K,28.8285,5965.0,7420.0,935.0,6165.0,14620.0,14970.0,37.2,67000.0,11895.0,33705.0,3075.0,675.0,1169.1555231801863
K7L,140.8027,4705.0,3270.0,410.0,3825.0,8535.0,8235.0,40.0,72500.0,5550.0,19621.0,2685.0,175.0,139.3510209676377
K7M,44.1686,8435.0,12100.0,1280.0,9930.0,20915.0,20750.0,44.4,77500.0,16990.0,49268.0,3765.0,780.0,1115.4530594132484
K7N,3.9663,775.0,2620.0,185.0,1870.0,3690.0,3825.0,41.2,91000.0,3410.0,8395.0,415.0,210.0,2116.58220507778
K7P,29.7964,4750.0,7295.0,680.0,5595.0,11600.0,11280.0,41.2,105000.0,9410.0,24660.0,1870.0,425.0,827.6167590715658
K7R,333.5821,1110.0,4500.0,385.0,3400.0,6170.0,5720.0,50.4,77000.0,4985.0,15480.0,735.0,305.0,46.40536767410481
K7S,185.3303,1380.0,4335.0,290.0,3350.0,6275.0,5960.0,48.0,83000.0,5125.0,14265.0,830.0,280.0,76.97068423242179
K7V,665.4234,985.0,4195.0,430.0,3145.0,5825.0,5515.0,52.0,70000.0,4795.0,13943.0,720.0,275.0,20.953576324487535
K8A,617.5258,2085.0,7790.0,635.0,5700.0,10940.0,10460.0,45.6,75000.0,8805.0,26392.0,1660.0,550.0,42.73829530685196
K8B,4.0215,65.0,135.0,15.0,140.0,220.0,200.0,42.4,136000.0,175.0,490.0,25.0,10.0,121.84508268059183
K8H,151.5124,1775.0,5870.0,265.0,3545.0,7925.0,7795.0,31.2,102000.0,6400.0,16188.0,1395.0,465.0,106.84274026416318
K8N,199.5057,3570.0,8615.0,690.0,6700.0,12475.0,11850.0,48.0,79000.0,10120.0,30393.0,1730.0,530.0,152.34151204702422
